Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.132,,2018-01-25 17:19:27,2018-01-25 17:21:44,2m - 16.978s,PASSED
,,,,,,
Test Cases/001_login_email_successful,Chrome 63.0.3239.132,,2018-01-25 17:19:28,2018-01-25 17:19:44,16.274s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:19:29,2018-01-25 17:19:36,6.988s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:19:36,2018-01-25 17:19:38,2.706s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:19:38,2018-01-25 17:19:39,0.387s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:19:39,2018-01-25 17:19:41,1.895s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:19:41,2018-01-25 17:19:41,0.313s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:19:41,2018-01-25 17:19:41,0.126s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 17:19:41,2018-01-25 17:19:44,3.028s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.132,,2018-01-25 17:19:44,2018-01-25 17:19:44,0.129s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Chrome 63.0.3239.132,,2018-01-25 17:19:45,2018-01-25 17:19:56,11.243s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:19:45,2018-01-25 17:19:48,2.507s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:19:48,2018-01-25 17:19:51,2.736s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:19:51,2018-01-25 17:19:51,0.469s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:19:51,2018-01-25 17:19:53,1.766s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:19:53,2018-01-25 17:19:53,0.383s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:19:53,2018-01-25 17:19:53,0.124s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 17:19:53,2018-01-25 17:19:56,3.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-25 17:19:56,2018-01-25 17:19:56,0.062s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Chrome 63.0.3239.132,,2018-01-25 17:19:57,2018-01-25 17:20:08,11.189s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:19:57,2018-01-25 17:19:59,1.999s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:19:59,2018-01-25 17:20:03,3.673s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:20:03,2018-01-25 17:20:03,0.347s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:20:03,2018-01-25 17:20:05,1.562s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 17:20:05,2018-01-25 17:20:05,0.269s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:20:05,2018-01-25 17:20:05,0.143s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 17:20:05,2018-01-25 17:20:08,3.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-25 17:20:08,2018-01-25 17:20:08,0.053s,PASSED
,,,,,,
Test Cases/004_login_email_wrongemail,Chrome 63.0.3239.132,,2018-01-25 17:20:09,2018-01-25 17:20:20,10.494s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 17:20:09,2018-01-25 17:20:11,1.986s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-25 17:20:11,2018-01-25 17:20:14,2.623s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 17:20:14,2018-01-25 17:20:14,0.344s,PASSED
