Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
account_settings,Chrome 63.0.3239.84,,2018-01-03 19:51:52,2018-01-03 19:53:36,1m - 43.768s,PASSED
,,,,,,
Test Cases/042_account_address_add,Chrome 63.0.3239.84,,2018-01-03 19:51:53,2018-01-03 19:52:16,22.870s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:51:53,2018-01-03 19:52:05,11.754s,PASSED
click,Chrome 63.0.3239.84,Ensure that account only has 1 and only 1 address ,2018-01-03 19:52:05,2018-01-03 19:52:05,0.077s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:05,2018-01-03 19:52:06,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:06,2018-01-03 19:52:06,0.155s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:06,2018-01-03 19:52:07,0.183s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:52:07,2018-01-03 19:52:07,0.260s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:07,2018-01-03 19:52:10,3.004s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:52:10,2018-01-03 19:52:10,0.187s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:10,2018-01-03 19:52:10,0.099s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:10,2018-01-03 19:52:13,3.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:13,2018-01-03 19:52:13,0.088s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:13,2018-01-03 19:52:13,0.182s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:13,2018-01-03 19:52:14,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:14,2018-01-03 19:52:15,0.169s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:15,2018-01-03 19:52:16,1.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:52:16,2018-01-03 19:52:16,0.037s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:52:16,2018-01-03 19:52:16,0.028s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:52:16,2018-01-03 19:52:16,0.064s,PASSED
,,,,,,
Test Cases/045_account_address_delete,Chrome 63.0.3239.84,,2018-01-03 19:52:17,2018-01-03 19:52:29,12.671s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:52:17,2018-01-03 19:52:26,9.536s,PASSED
click,Chrome 63.0.3239.84,Ensure that account has 2 or more addresses. Test will delete 2nd address,2018-01-03 19:52:26,2018-01-03 19:52:26,0.074s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:26,2018-01-03 19:52:27,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:27,2018-01-03 19:52:28,0.172s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:28,2018-01-03 19:52:28,0.673s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:28,2018-01-03 19:52:29,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:29,2018-01-03 19:52:29,0.096s,PASSED
,,,,,,
Test Cases/043_account_address_add_nopostalcode,Chrome 63.0.3239.84,,2018-01-03 19:52:30,2018-01-03 19:52:54,24.000s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:52:30,2018-01-03 19:52:40,9.581s,PASSED
click,Chrome 63.0.3239.84,Ensure that account only has 1 and only 1 address ,2018-01-03 19:52:40,2018-01-03 19:52:40,0.078s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:40,2018-01-03 19:52:41,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:41,2018-01-03 19:52:41,0.147s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:41,2018-01-03 19:52:42,0.691s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:52:42,2018-01-03 19:52:42,0.250s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:42,2018-01-03 19:52:45,3.001s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:52:45,2018-01-03 19:52:45,0.187s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:45,2018-01-03 19:52:45,0.087s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:45,2018-01-03 19:52:48,3.003s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:52:48,2018-01-03 19:52:49,0.473s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:49,2018-01-03 19:52:49,0.081s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:49,2018-01-03 19:52:52,3.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:52,2018-01-03 19:52:52,0.074s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:52,2018-01-03 19:52:53,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:52:53,2018-01-03 19:52:53,0.106s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:52:53,2018-01-03 19:52:54,1.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:52:54,2018-01-03 19:52:54,0.024s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:52:54,2018-01-03 19:52:54,0.021s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:52:54,2018-01-03 19:52:54,0.055s,PASSED
,,,,,,
Test Cases/044_account_address_add_wrongpostalcode,Chrome 63.0.3239.84,,2018-01-03 19:52:55,2018-01-03 19:53:13,17.814s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:52:55,2018-01-03 19:53:05,9.577s,PASSED
click,Chrome 63.0.3239.84,Ensure that account only has 1 and only 1 address ,2018-01-03 19:53:05,2018-01-03 19:53:05,0.074s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:05,2018-01-03 19:53:06,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:06,2018-01-03 19:53:06,0.171s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:06,2018-01-03 19:53:06,0.193s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:53:06,2018-01-03 19:53:06,0.453s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:06,2018-01-03 19:53:09,3.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:09,2018-01-03 19:53:10,0.076s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:10,2018-01-03 19:53:13,3.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:53:13,2018-01-03 19:53:13,0.018s,PASSED
verifyElementAttributeValue,Chrome 63.0.3239.84,,2018-01-03 19:53:13,2018-01-03 19:53:13,0.066s,PASSED
,,,,,,
Test Cases/046_account_address_edit,Chrome 63.0.3239.84,,2018-01-03 19:53:13,2018-01-03 19:53:36,22.059s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:53:14,2018-01-03 19:53:23,9.894s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 19:53:23,2018-01-03 19:53:24,0.074s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:24,2018-01-03 19:53:25,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:25,2018-01-03 19:53:25,0.147s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:25,2018-01-03 19:53:25,0.704s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:25,2018-01-03 19:53:26,1.001s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:53:26,2018-01-03 19:53:27,0.203s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:27,2018-01-03 19:53:30,3.002s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:53:30,2018-01-03 19:53:30,0.305s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:30,2018-01-03 19:53:30,0.086s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:30,2018-01-03 19:53:33,3.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:33,2018-01-03 19:53:33,0.215s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:33,2018-01-03 19:53:33,0.065s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:33,2018-01-03 19:53:34,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:53:34,2018-01-03 19:53:34,0.158s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:53:34,2018-01-03 19:53:35,1.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:53:35,2018-01-03 19:53:35,0.024s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:53:35,2018-01-03 19:53:36,0.022s,PASSED
