Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Firefox 57.0,,2017-12-26 19:00:38,2017-12-26 19:02:56,2m - 17.780s,FAILED
,,,,,,
Test Cases/1_login_email_successful,Firefox 57.0,,2017-12-26 19:00:39,2017-12-26 19:00:54,14.901s,PASSED
openBrowser,Firefox 57.0,,2017-12-26 19:00:39,2017-12-26 19:00:45,5.690s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:00:45,2017-12-26 19:00:48,2.475s,PASSED
click,Firefox 57.0,,2017-12-26 19:00:48,2017-12-26 19:00:48,0.425s,PASSED
setText,Firefox 57.0,,2017-12-26 19:00:48,2017-12-26 19:00:49,1.365s,PASSED
setText,Firefox 57.0,,2017-12-26 19:00:49,2017-12-26 19:00:50,0.745s,PASSED
click,Firefox 57.0,,2017-12-26 19:00:50,2017-12-26 19:00:51,0.496s,PASSED
delay,Firefox 57.0,,2017-12-26 19:00:51,2017-12-26 19:00:54,3.028s,PASSED
verifyElementText,Firefox 57.0,,2017-12-26 19:00:54,2017-12-26 19:00:54,0.043s,PASSED
,,,,,,
Test Cases/2_login_email_wrongpw,Firefox 57.0,,2017-12-26 19:00:54,2017-12-26 19:01:06,12.067s,PASSED
openBrowser,Firefox 57.0,,2017-12-26 19:00:54,2017-12-26 19:00:58,3.922s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:00:58,2017-12-26 19:01:00,2.282s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:00,2017-12-26 19:01:01,0.365s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:01,2017-12-26 19:01:02,1.378s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:02,2017-12-26 19:01:03,0.567s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:03,2017-12-26 19:01:03,0.319s,PASSED
delay,Firefox 57.0,,2017-12-26 19:01:03,2017-12-26 19:01:06,3.002s,PASSED
verifyElementText,Firefox 57.0,,2017-12-26 19:01:06,2017-12-26 19:01:06,0.030s,PASSED
,,,,,,
Test Cases/3_login_email_wrongpwformat,Firefox 57.0,,2017-12-26 19:01:06,2017-12-26 19:01:18,11.902s,PASSED
openBrowser,Firefox 57.0,,2017-12-26 19:01:07,2017-12-26 19:01:10,3.862s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:01:10,2017-12-26 19:01:12,2.105s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:12,2017-12-26 19:01:13,0.442s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:13,2017-12-26 19:01:14,1.422s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:14,2017-12-26 19:01:15,0.617s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:15,2017-12-26 19:01:15,0.271s,PASSED
delay,Firefox 57.0,,2017-12-26 19:01:15,2017-12-26 19:01:18,3.001s,PASSED
verifyElementText,Firefox 57.0,,2017-12-26 19:01:18,2017-12-26 19:01:18,0.029s,PASSED
,,,,,,
Test Cases/4_login_email_wrongemail,Firefox 57.0,,2017-12-26 19:01:19,2017-12-26 19:01:31,12.561s,PASSED
openBrowser,Firefox 57.0,,2017-12-26 19:01:19,2017-12-26 19:01:23,3.919s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:01:23,2017-12-26 19:01:25,2.090s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:25,2017-12-26 19:01:26,0.812s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:26,2017-12-26 19:01:27,1.631s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:27,2017-12-26 19:01:28,0.608s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:28,2017-12-26 19:01:28,0.309s,PASSED
delay,Firefox 57.0,,2017-12-26 19:01:28,2017-12-26 19:01:31,3.002s,PASSED
verifyElementText,Firefox 57.0,,2017-12-26 19:01:31,2017-12-26 19:01:31,0.028s,PASSED
,,,,,,
Test Cases/5_login_email_wrongemailformat,Firefox 57.0,,2017-12-26 19:01:31,2017-12-26 19:01:43,11.766s,PASSED
openBrowser,Firefox 57.0,,2017-12-26 19:01:32,2017-12-26 19:01:35,3.874s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:01:35,2017-12-26 19:01:38,2.173s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:38,2017-12-26 19:01:38,0.309s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:38,2017-12-26 19:01:39,1.224s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:39,2017-12-26 19:01:40,0.727s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:40,2017-12-26 19:01:40,0.281s,PASSED
delay,Firefox 57.0,,2017-12-26 19:01:40,2017-12-26 19:01:43,3.003s,PASSED
verifyElementText,Firefox 57.0,,2017-12-26 19:01:43,2017-12-26 19:01:43,0.027s,PASSED
,,,,,,
Test Cases/6_login_fb_loggedin,Firefox 57.0,,2017-12-26 19:01:44,2017-12-26 19:02:08,24.861s,FAILED
openBrowser,Firefox 57.0,,2017-12-26 19:01:44,2017-12-26 19:01:48,3.874s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:01:48,2017-12-26 19:01:49,1.655s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:49,2017-12-26 19:01:49,0.108s,PASSED
setText,Firefox 57.0,,2017-12-26 19:01:49,2017-12-26 19:01:49,0.078s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:49,2017-12-26 19:01:52,2.916s,PASSED
delay,Firefox 57.0,,2017-12-26 19:01:52,2017-12-26 19:01:55,3.001s,PASSED
navigateToUrl,Firefox 57.0,,2017-12-26 19:01:55,2017-12-26 19:01:58,2.361s,PASSED
click,Firefox 57.0,,2017-12-26 19:01:58,2017-12-26 19:01:58,0.330s,PASSED
scrollToElement,Firefox 57.0,,2017-12-26 19:01:58,2017-12-26 19:02:00,1.537s,PASSED
click,Firefox 57.0,,2017-12-26 19:02:00,2017-12-26 19:02:00,0.428s,PASSED
delay,Firefox 57.0,,2017-12-26 19:02:00,2017-12-26 19:02:03,3.001s,PASSED
verifyElementText,Firefox 57.0,,2017-12-26 19:02:03,2017-12-26 19:02:08,5.414s,FAILED
,,,,,,
Test Cases/7_login_fb_notloggedin,Firefox 57.0,,2017-12-26 19:02:09,2017-12-26 19:02:21,11.878s,FAILED
