Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.84,,2018-01-03 18:23:57,2018-01-03 18:26:08,2m - 11.602s,FAILED
,,,,,,
Test Cases/001_login_email_successful,Chrome 63.0.3239.84,,2018-01-03 18:23:57,2018-01-03 18:24:09,11.967s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:23:58,2018-01-03 18:24:01,3.507s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:24:01,2018-01-03 18:24:04,2.449s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:04,2018-01-03 18:24:04,0.392s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:04,2018-01-03 18:24:05,1.464s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:05,2018-01-03 18:24:06,0.265s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:06,2018-01-03 18:24:06,0.126s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:24:06,2018-01-03 18:24:09,3.027s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.84,,2018-01-03 18:24:09,2018-01-03 18:24:09,0.082s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Chrome 63.0.3239.84,,2018-01-03 18:24:10,2018-01-03 18:24:20,9.714s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:24:10,2018-01-03 18:24:12,1.933s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:24:12,2018-01-03 18:24:14,2.351s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:14,2018-01-03 18:24:15,0.275s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:15,2018-01-03 18:24:16,1.512s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:16,2018-01-03 18:24:16,0.338s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:16,2018-01-03 18:24:16,0.102s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:24:16,2018-01-03 18:24:19,3.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 18:24:19,2018-01-03 18:24:20,0.038s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Chrome 63.0.3239.84,,2018-01-03 18:24:20,2018-01-03 18:24:36,15.720s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:24:20,2018-01-03 18:24:22,1.944s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:24:22,2018-01-03 18:24:25,2.467s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:25,2018-01-03 18:24:25,0.292s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:25,2018-01-03 18:24:27,1.536s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:27,2018-01-03 18:24:27,0.234s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:27,2018-01-03 18:24:27,0.097s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:24:27,2018-01-03 18:24:30,3.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 18:24:30,2018-01-03 18:24:36,6.039s,FAILED
,,,,,,
Test Cases/004_login_email_wrongemail,Chrome 63.0.3239.84,,2018-01-03 18:24:37,2018-01-03 18:24:47,10.037s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:24:37,2018-01-03 18:24:39,1.929s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:24:39,2018-01-03 18:24:42,2.703s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:42,2018-01-03 18:24:42,0.223s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:42,2018-01-03 18:24:43,1.647s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:43,2018-01-03 18:24:44,0.267s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:44,2018-01-03 18:24:44,0.105s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:24:44,2018-01-03 18:24:47,3.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 18:24:47,2018-01-03 18:24:47,0.024s,PASSED
,,,,,,
Test Cases/005_login_email_wrongemailformat,Chrome 63.0.3239.84,,2018-01-03 18:24:48,2018-01-03 18:25:03,15.590s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:24:48,2018-01-03 18:24:50,1.928s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:24:50,2018-01-03 18:24:52,2.429s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:52,2018-01-03 18:24:52,0.302s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:52,2018-01-03 18:24:54,1.269s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:24:54,2018-01-03 18:24:54,0.316s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:24:54,2018-01-03 18:24:54,0.157s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:24:54,2018-01-03 18:24:57,3.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 18:24:57,2018-01-03 18:25:03,6.067s,FAILED
,,,,,,
Test Cases/006_login_fb_loggedin,Chrome 63.0.3239.84,,2018-01-03 18:25:04,2018-01-03 18:25:25,20.631s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:25:04,2018-01-03 18:25:06,1.941s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:25:06,2018-01-03 18:25:08,1.769s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:25:08,2018-01-03 18:25:08,0.208s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:25:08,2018-01-03 18:25:08,0.171s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:25:08,2018-01-03 18:25:10,2.386s,PASSED
