Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
signup,Chrome 63.0.3239.84,,2018-01-04 11:01:53,2018-01-04 11:04:13,2m - 20.653s,PASSED
,,,,,,
Test Cases/010_signup_success,Chrome 63.0.3239.84,,2018-01-04 11:01:53,2018-01-04 11:02:09,15.362s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 11:01:54,2018-01-04 11:01:58,4.370s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 11:01:58,2018-01-04 11:02:02,3.479s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 11:02:02,2018-01-04 11:02:02,0.424s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 11:02:02,2018-01-04 11:02:03,1.026s,PASSED
"Statement - str1 = CustomKeywords.autoKeywords.RandomStrGen.randomStr(""abcdefghijklmnopqrstuvwxyz1234567890"", 10)",Chrome 63.0.3239.84,,2018-01-04 11:02:03,2018-01-04 11:02:03,0.040s,PASSED
"Statement - str2 = CustomKeywords.autoKeywords.RandomStrGen.randomStr(""abcdefghijklmnopqrstuvwxyz1234567890"", 10)",Chrome 63.0.3239.84,,2018-01-04 11:02:03,2018-01-04 11:02:03,0.001s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 11:02:03,2018-01-04 11:02:04,0.959s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 11:02:04,2018-01-04 11:02:04,0.239s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 11:02:04,2018-01-04 11:02:05,0.324s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 11:02:05,2018-01-04 11:02:05,0.321s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 11:02:05,2018-01-04 11:02:05,0.344s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 11:02:05,2018-01-04 11:02:06,0.184s,PASSED
delay,Chrome 63.0.3239.84,Delay for signup success notification (WIP),2018-01-04 11:02:06,2018-01-04 11:02:09,3.026s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.84,,2018-01-04 11:02:09,2018-01-04 11:02:09,0.114s,PASSED
,,,,,,
Test Cases/011_signup_success_newlogin,Chrome 63.0.3239.84,,2018-01-04 11:02:09,2018-01-04 11:02:30,20.237s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 11:02:10,2018-01-04 11:02:12,2.442s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 11:02:12,2018-01-04 11:02:14,2.305s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 11:02:14,2018-01-04 11:02:15,0.316s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 11:02:15,2018-01-04 11:02:16,1.035s,PASSED
