Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.84,,2018-01-03 18:33:28,2018-01-03 18:35:48,2m - 19.870s,PASSED
,,,,,,
Test Cases/001_login_email_successful,Chrome 63.0.3239.84,,2018-01-03 18:33:28,2018-01-03 18:33:42,14.057s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:33:29,2018-01-03 18:33:33,4.326s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:33:33,2018-01-03 18:33:37,3.271s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:33:37,2018-01-03 18:33:37,0.426s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:33:37,2018-01-03 18:33:39,1.687s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:33:39,2018-01-03 18:33:39,0.374s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:33:39,2018-01-03 18:33:39,0.146s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:33:39,2018-01-03 18:33:42,3.033s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.84,,2018-01-03 18:33:42,2018-01-03 18:33:42,0.162s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Chrome 63.0.3239.84,,2018-01-03 18:33:44,2018-01-03 18:33:56,12.284s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:33:44,2018-01-03 18:33:46,2.588s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:33:46,2018-01-03 18:33:49,2.831s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:33:49,2018-01-03 18:33:50,0.459s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:33:50,2018-01-03 18:33:52,2.443s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:33:52,2018-01-03 18:33:53,0.526s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:33:53,2018-01-03 18:33:53,0.163s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 18:33:53,2018-01-03 18:33:56,3.003s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 18:33:56,2018-01-03 18:33:56,0.045s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Chrome 63.0.3239.84,,2018-01-03 18:33:57,2018-01-03 18:34:06,9.816s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:33:57,2018-01-03 18:33:59,1.918s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:33:59,2018-01-03 18:34:01,2.499s,PASSED
