Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
signup_spam_suite,Chrome 63.0.3239.84,,2018-01-03 17:29:02,2018-01-03 17:30:31,1m - 28.577s,FAILED
,,,,,,
Test Cases/010_signup_success,Chrome 63.0.3239.84,,2018-01-03 17:29:03,2018-01-03 17:30:19,1m - 16.020s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 17:29:04,2018-01-03 17:29:19,15.249s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 17:29:19,2018-01-03 17:30:05,46.331s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 17:30:05,2018-01-03 17:30:19,13.391s,FAILED
