Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.84,,2017-12-26 18:51:29,2017-12-26 18:53:26,1m - 56.645s,PASSED
,,,,,,
Test Cases/1_login_email_successful,Chrome 63.0.3239.84,,2017-12-26 18:51:30,2017-12-26 18:51:42,11.705s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-26 18:51:31,2017-12-26 18:51:34,3.180s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-26 18:51:34,2017-12-26 18:51:36,2.197s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:51:36,2017-12-26 18:51:37,0.671s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:51:37,2017-12-26 18:51:38,1.404s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:51:38,2017-12-26 18:51:38,0.307s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:51:38,2017-12-26 18:51:38,0.124s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-26 18:51:38,2017-12-26 18:51:41,3.029s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2017-12-26 18:51:41,2017-12-26 18:51:42,0.073s,PASSED
,,,,,,
Test Cases/2_login_email_wrongpw,Chrome 63.0.3239.84,,2017-12-26 18:51:42,2017-12-26 18:51:52,9.406s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-26 18:51:43,2017-12-26 18:51:45,1.957s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-26 18:51:45,2017-12-26 18:51:46,1.751s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:51:46,2017-12-26 18:51:47,0.626s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:51:47,2017-12-26 18:51:48,1.346s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:51:48,2017-12-26 18:51:49,0.383s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:51:49,2017-12-26 18:51:49,0.109s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-26 18:51:49,2017-12-26 18:51:52,3.004s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2017-12-26 18:51:52,2017-12-26 18:51:52,0.048s,PASSED
,,,,,,
Test Cases/3_login_email_wrongpwformat,Chrome 63.0.3239.84,,2017-12-26 18:51:53,2017-12-26 18:52:02,9.246s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-26 18:51:53,2017-12-26 18:51:55,1.945s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-26 18:51:55,2017-12-26 18:51:56,1.732s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:51:56,2017-12-26 18:51:57,0.619s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:51:57,2017-12-26 18:51:58,1.350s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:51:58,2017-12-26 18:51:59,0.244s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:51:59,2017-12-26 18:51:59,0.128s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-26 18:51:59,2017-12-26 18:52:02,3.001s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2017-12-26 18:52:02,2017-12-26 18:52:02,0.073s,PASSED
,,,,,,
Test Cases/4_login_email_wrongemail,Chrome 63.0.3239.84,,2017-12-26 18:52:03,2017-12-26 18:52:12,9.802s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-26 18:52:03,2017-12-26 18:52:05,1.937s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-26 18:52:05,2017-12-26 18:52:07,2.016s,PASSED
click,Chrome 63.0.3239.84,,2017-12-26 18:52:07,2017-12-26 18:52:07,0.632s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-26 18:52:07,2017-12-26 18:52:09,1.566s,PASSED
