Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
signup_spam_suite,Chrome 63.0.3239.84,,2018-01-03 17:29:07,2018-01-03 17:30:27,1m - 20.298s,FAILED
,,,,,,
Test Cases/010_signup_success,Chrome 63.0.3239.84,,2018-01-03 17:29:08,2018-01-03 17:30:18,1m - 10.427s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 17:29:09,2018-01-03 17:29:20,10.728s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 17:29:20,2018-01-03 17:30:05,45.633s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 17:30:05,2018-01-03 17:30:18,12.743s,FAILED
