Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
account_settings,Chrome 63.0.3239.84,,2018-01-03 19:39:35,2018-01-03 19:47:53,8m - 17.762s,FAILED
,,,,,,
Test Cases/047_account_alttab,Chrome 63.0.3239.84,,2018-01-03 19:39:36,2018-01-03 19:40:23,47.439s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:39:36,2018-01-03 19:39:48,12.060s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 19:39:48,2018-01-03 19:39:49,0.126s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:39:49,2018-01-03 19:39:50,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:39:50,2018-01-03 19:39:50,0.121s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:39:50,2018-01-03 19:39:51,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:39:51,2018-01-03 19:39:51,0.590s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 19:39:51,2018-01-03 19:39:51,0.068s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:39:51,2018-01-03 19:39:52,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:39:52,2018-01-03 19:39:56,3.351s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:39:56,2018-01-03 19:39:57,1.003s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:39:57,2018-01-03 19:39:57,0.043s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 19:39:57,2018-01-03 19:39:57,0.059s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:39:57,2018-01-03 19:39:58,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:39:58,2018-01-03 19:39:58,0.119s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:39:58,2018-01-03 19:39:59,1.003s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:39:59,2018-01-03 19:39:59,0.040s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:39:59,2018-01-03 19:40:01,1.644s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:40:01,2018-01-03 19:40:02,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:40:02,2018-01-03 19:40:02,0.074s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:02,2018-01-03 19:40:20,18.852s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:40:20,2018-01-03 19:40:21,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:40:21,2018-01-03 19:40:22,0.043s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:22,2018-01-03 19:40:22,0.125s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:22,2018-01-03 19:40:22,0.141s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:22,2018-01-03 19:40:22,0.269s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:40:22,2018-01-03 19:40:23,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:40:23,2018-01-03 19:40:23,0.038s,PASSED
,,,,,,
Test Cases/027_account_orderhistory,Chrome 63.0.3239.84,,2018-01-03 19:40:24,2018-01-03 19:40:51,27.441s,FAILED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:40:24,2018-01-03 19:40:34,9.569s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:34,2018-01-03 19:40:34,0.095s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:40:34,2018-01-03 19:40:35,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:35,2018-01-03 19:40:35,0.205s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:40:35,2018-01-03 19:40:36,1.000s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:40:36,2018-01-03 19:40:37,0.653s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:40:37,2018-01-03 19:40:41,4.811s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:40:41,2018-01-03 19:40:42,1.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 19:40:42,2018-01-03 19:40:51,8.937s,FAILED
,,,,,,
Test Cases/028_account_change_email,Chrome 63.0.3239.84,,2018-01-03 19:40:52,2018-01-03 19:41:21,29.241s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:40:52,2018-01-03 19:41:02,9.806s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:02,2018-01-03 19:41:02,0.076s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:02,2018-01-03 19:41:03,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:03,2018-01-03 19:41:03,0.108s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:41:03,2018-01-03 19:41:04,0.826s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:04,2018-01-03 19:41:04,0.256s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:04,2018-01-03 19:41:07,3.002s,PASSED
verifyElementNotHasAttribute,Chrome 63.0.3239.84,,2018-01-03 19:41:07,2018-01-03 19:41:07,0.042s,PASSED
verifyElementAttributeValue,Chrome 63.0.3239.84,,2018-01-03 19:41:07,2018-01-03 19:41:07,0.048s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:07,2018-01-03 19:41:08,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:08,2018-01-03 19:41:08,0.058s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:08,2018-01-03 19:41:09,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:09,2018-01-03 19:41:10,0.147s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:10,2018-01-03 19:41:11,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:11,2018-01-03 19:41:11,0.093s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:11,2018-01-03 19:41:12,1.001s,PASSED
autoKeywords.verifyLoggedOut.verifyNotLogged,Chrome 63.0.3239.84,,2018-01-03 19:41:12,2018-01-03 19:41:12,0.027s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:12,2018-01-03 19:41:12,0.609s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:41:12,2018-01-03 19:41:13,0.673s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:41:13,2018-01-03 19:41:13,0.250s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:13,2018-01-03 19:41:13,0.091s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:13,2018-01-03 19:41:16,3.001s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.84,,2018-01-03 19:41:16,2018-01-03 19:41:16,0.038s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:16,2018-01-03 19:41:17,0.072s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:17,2018-01-03 19:41:18,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:18,2018-01-03 19:41:18,0.150s,PASSED
setText,Chrome 63.0.3239.84,Set back to original email,2018-01-03 19:41:18,2018-01-03 19:41:18,0.505s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:18,2018-01-03 19:41:18,0.088s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:18,2018-01-03 19:41:21,3.000s,PASSED
verifyElementNotHasAttribute,Chrome 63.0.3239.84,,2018-01-03 19:41:21,2018-01-03 19:41:21,0.025s,PASSED
verifyElementAttributeValue,Chrome 63.0.3239.84,,2018-01-03 19:41:21,2018-01-03 19:41:21,0.031s,PASSED
,,,,,,
Test Cases/029_account_change_email_wrongformat,Chrome 63.0.3239.84,,2018-01-03 19:41:22,2018-01-03 19:41:40,17.745s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:41:22,2018-01-03 19:41:32,9.795s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:32,2018-01-03 19:41:32,0.082s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:32,2018-01-03 19:41:33,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:33,2018-01-03 19:41:33,0.110s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:41:33,2018-01-03 19:41:34,0.961s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:34,2018-01-03 19:41:34,0.103s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:34,2018-01-03 19:41:37,3.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:37,2018-01-03 19:41:38,0.263s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:38,2018-01-03 19:41:38,0.081s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:38,2018-01-03 19:41:39,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:39,2018-01-03 19:41:39,0.180s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:39,2018-01-03 19:41:40,1.001s,PASSED
"Statement - newEmail = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Account/input_email), ""value"")",Chrome 63.0.3239.84,,2018-01-03 19:41:40,2018-01-03 19:41:40,0.038s,PASSED
verifyNotMatch,Chrome 63.0.3239.84,,2018-01-03 19:41:40,2018-01-03 19:41:40,0.002s,PASSED
,,,,,,
Test Cases/030_account_change_email_emailregd,Chrome 63.0.3239.84,,2018-01-03 19:41:41,2018-01-03 19:41:59,17.847s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:41:41,2018-01-03 19:41:51,9.681s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:51,2018-01-03 19:41:51,0.075s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:51,2018-01-03 19:41:52,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:52,2018-01-03 19:41:52,0.145s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:41:52,2018-01-03 19:41:53,0.898s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:53,2018-01-03 19:41:53,0.125s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:53,2018-01-03 19:41:56,3.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:41:56,2018-01-03 19:41:56,0.045s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:56,2018-01-03 19:41:56,0.297s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:56,2018-01-03 19:41:56,0.102s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:56,2018-01-03 19:41:57,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:41:57,2018-01-03 19:41:57,0.209s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:41:57,2018-01-03 19:41:58,1.002s,PASSED
"Statement - newEmail = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Account/input_email), ""value"")",Chrome 63.0.3239.84,,2018-01-03 19:41:58,2018-01-03 19:41:59,0.028s,PASSED
verifyNotMatch,Chrome 63.0.3239.84,,2018-01-03 19:41:59,2018-01-03 19:41:59,0.001s,PASSED
,,,,,,
Test Cases/031_account_change_fname,Chrome 63.0.3239.84,,2018-01-03 19:41:59,2018-01-03 19:42:16,17.114s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:41:59,2018-01-03 19:42:09,9.835s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:09,2018-01-03 19:42:09,0.076s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:09,2018-01-03 19:42:10,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:10,2018-01-03 19:42:10,0.143s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:42:10,2018-01-03 19:42:11,0.287s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:11,2018-01-03 19:42:11,0.116s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:11,2018-01-03 19:42:14,3.001s,PASSED
verifyElementNotHasAttribute,Chrome 63.0.3239.84,,2018-01-03 19:42:14,2018-01-03 19:42:14,0.031s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:14,2018-01-03 19:42:14,0.226s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:14,2018-01-03 19:42:14,0.063s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:14,2018-01-03 19:42:15,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:15,2018-01-03 19:42:15,0.161s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:15,2018-01-03 19:42:16,1.001s,PASSED
verifyElementAttributeValue,Chrome 63.0.3239.84,,2018-01-03 19:42:16,2018-01-03 19:42:16,0.034s,PASSED
,,,,,,
Test Cases/032_account_change_fname_invalid,Chrome 63.0.3239.84,,2018-01-03 19:42:17,2018-01-03 19:42:35,17.819s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:42:17,2018-01-03 19:42:28,10.355s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:28,2018-01-03 19:42:28,0.082s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:28,2018-01-03 19:42:29,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:29,2018-01-03 19:42:29,0.134s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:42:29,2018-01-03 19:42:29,0.404s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:29,2018-01-03 19:42:29,0.121s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:29,2018-01-03 19:42:32,3.000s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:42:32,2018-01-03 19:42:32,0.040s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:32,2018-01-03 19:42:33,0.248s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:33,2018-01-03 19:42:33,0.092s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:33,2018-01-03 19:42:34,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:34,2018-01-03 19:42:34,0.208s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:34,2018-01-03 19:42:35,1.001s,PASSED
"Statement - newFname = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Account/input_firstname), ""value"")",Chrome 63.0.3239.84,,2018-01-03 19:42:35,2018-01-03 19:42:35,0.024s,PASSED
verifyNotMatch,Chrome 63.0.3239.84,,2018-01-03 19:42:35,2018-01-03 19:42:35,0.001s,PASSED
,,,,,,
Test Cases/033_account_change_lname,Chrome 63.0.3239.84,,2018-01-03 19:42:36,2018-01-03 19:42:53,17.313s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:42:36,2018-01-03 19:42:45,9.527s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:45,2018-01-03 19:42:45,0.071s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:45,2018-01-03 19:42:46,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:46,2018-01-03 19:42:47,0.152s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:42:47,2018-01-03 19:42:47,0.744s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:47,2018-01-03 19:42:47,0.137s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:47,2018-01-03 19:42:50,3.000s,PASSED
verifyElementNotHasAttribute,Chrome 63.0.3239.84,,2018-01-03 19:42:50,2018-01-03 19:42:50,0.031s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:50,2018-01-03 19:42:51,0.243s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:51,2018-01-03 19:42:51,0.069s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:51,2018-01-03 19:42:52,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:42:52,2018-01-03 19:42:52,0.194s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:42:52,2018-01-03 19:42:53,1.002s,PASSED
verifyElementAttributeValue,Chrome 63.0.3239.84,,2018-01-03 19:42:53,2018-01-03 19:42:53,0.036s,PASSED
,,,,,,
Test Cases/034_account_change_lname_invalid,Chrome 63.0.3239.84,,2018-01-03 19:42:54,2018-01-03 19:43:12,18.071s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:42:54,2018-01-03 19:43:04,10.535s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:04,2018-01-03 19:43:05,0.078s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:05,2018-01-03 19:43:06,1.001s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:06,2018-01-03 19:43:06,0.162s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:43:06,2018-01-03 19:43:06,0.476s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:06,2018-01-03 19:43:06,0.117s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:06,2018-01-03 19:43:09,3.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 19:43:09,2018-01-03 19:43:09,0.039s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:09,2018-01-03 19:43:10,0.234s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:10,2018-01-03 19:43:10,0.080s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:10,2018-01-03 19:43:11,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:11,2018-01-03 19:43:11,0.204s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:11,2018-01-03 19:43:12,1.002s,PASSED
"Statement - newLname = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Account/input_lastname), ""value"")",Chrome 63.0.3239.84,,2018-01-03 19:43:12,2018-01-03 19:43:12,0.024s,PASSED
verifyNotMatch,Chrome 63.0.3239.84,,2018-01-03 19:43:12,2018-01-03 19:43:12,0.001s,PASSED
,,,,,,
Test Cases/035_account_change_phone,Chrome 63.0.3239.84,,2018-01-03 19:43:13,2018-01-03 19:43:33,20.355s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 19:43:13,2018-01-03 19:43:22,9.588s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:22,2018-01-03 19:43:22,0.069s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:22,2018-01-03 19:43:23,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:23,2018-01-03 19:43:24,0.147s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:43:24,2018-01-03 19:43:24,0.380s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:24,2018-01-03 19:43:24,0.114s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:24,2018-01-03 19:43:27,3.002s,PASSED
verifyElementNotHasAttribute,Chrome 63.0.3239.84,,2018-01-03 19:43:27,2018-01-03 19:43:27,0.031s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:27,2018-01-03 19:43:27,0.245s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:27,2018-01-03 19:43:27,0.075s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:27,2018-01-03 19:43:28,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:28,2018-01-03 19:43:29,0.183s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:29,2018-01-03 19:43:30,1.001s,PASSED
verifyElementAttributeValue,Chrome 63.0.3239.84,,2018-01-03 19:43:30,2018-01-03 19:43:30,0.036s,PASSED
setText,Chrome 63.0.3239.84,Set back to default phone\r\n,2018-01-03 19:43:30,2018-01-03 19:43:30,0.233s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 19:43:30,2018-01-03 19:43:30,0.074s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 19:43:30,2018-01-03 19:43:33,3.002s,PASSED
