Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.84,,2018-01-04 10:17:04,2018-01-04 10:19:12,2m - 8.167s,PASSED
,,,,,,
Test Cases/001_login_email_successful,Chrome 63.0.3239.84,,2018-01-04 10:17:04,2018-01-04 10:17:16,12.296s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 10:17:05,2018-01-04 10:17:08,3.442s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 10:17:08,2018-01-04 10:17:11,2.776s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 10:17:11,2018-01-04 10:17:11,0.463s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 10:17:11,2018-01-04 10:17:13,1.406s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 10:17:13,2018-01-04 10:17:13,0.271s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 10:17:13,2018-01-04 10:17:13,0.128s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-04 10:17:13,2018-01-04 10:17:16,3.029s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.84,,2018-01-04 10:17:16,2018-01-04 10:17:16,0.138s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Chrome 63.0.3239.84,,2018-01-04 10:17:17,2018-01-04 10:17:28,10.309s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 10:17:18,2018-01-04 10:17:20,2.421s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 10:17:20,2018-01-04 10:17:22,2.461s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 10:17:22,2018-01-04 10:17:23,0.283s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 10:17:23,2018-01-04 10:17:24,1.439s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 10:17:24,2018-01-04 10:17:25,0.360s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 10:17:25,2018-01-04 10:17:25,0.123s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-04 10:17:25,2018-01-04 10:17:28,3.003s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-04 10:17:28,2018-01-04 10:17:28,0.041s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Chrome 63.0.3239.84,,2018-01-04 10:17:28,2018-01-04 10:17:38,9.964s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 10:17:29,2018-01-04 10:17:31,2.414s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 10:17:31,2018-01-04 10:17:33,2.259s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 10:17:33,2018-01-04 10:17:34,0.315s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 10:17:34,2018-01-04 10:17:35,1.403s,PASSED
